Applicant_ID,Annual_Income,Debt_to_Income_Ratio,Defaulted
CR-1001,71718.97,21.35,0
CR-1002,42678.77,50.01,1
CR-1003,88238.03,26.01,0
CR-1004,65537.78,22.69,0
CR-1005,70488.12,11.83,0
CR-1006,56414.18,47.3,1
CR-1007,,18.58,0
CR-1008,30439.58,51.09,1
CR-1009,70299.54,16.18,0
CR-1010,55803.85,60.54,1
CR-1011,45759.4,49.46,1
CR-1012,40966.04,45.72,1
CR-1013,50499.53,54.9,1
CR-1014,42412.45,,1
CR-1015,69694.05,32.25,0
CR-1016,55164.46,32.07,0
CR-1017,36662.22,53.47,1
CR-1018,48581.15,54.32,1
CR-1019,86984.55,32.16,0
CR-1020,34660.89,49.35,1
CR-1021,35217.34,49.59,1
CR-1022,40492.15,45.4,1
CR-1023,68765.68,12.14,0
CR-1024,68253.44,20.57,0
CR-1025,55170.2,21.48,0
CR-1026,49224.69,58.92,1
CR-1027,81062.1,28.14,0
CR-1028,31482.22,64.07,1
CR-1029,,46.96,1
CR-1030,71466.35,31.36,0
CR-1031,64225.56,18.56,0
CR-1032,89202.01,24.49,0
CR-1033,46987.88,47.99,1
CR-1034,76457.1,16.29,0
CR-1035,44467.67,,1
CR-1036,85039.9,12.09,0
CR-1037,73156.43,31.27,0
CR-1038,55985.05,51.75,1
CR-1039,74495.93,24.18,0
CR-1040,82987.01,22.22,0
CR-1041,76632.38,24.41,0
CR-1042,71581.43,24.92,0
CR-1043,44734.99,47.8,1
CR-1044,,18.15,0
CR-1045,31816.31,43.28,1
CR-1046,48562.55,52.23,1
CR-1047,72175.35,21.13,0
CR-1048,27264.1,,1
CR-1049,39096.87,44.9,1
CR-1050,36065.62,46.46,1
